Date,Item Name,Price (₹),Quantity
2026-03-01,225mm dia 2Mtr NP2 RCC Pipe,550,85
2026-03-01,450mm dia 2.5Mtr NP3 RCC Pipe,2900,30
2026-03-01,1000mm dia 2.5Mtr NP4 RCC Pipe,7400,7
2026-03-01,1000mm dia 2.5Mtr NP4 RCC Pipe,7400,9
2026-03-01,300mm dia 2Mtr NP2 RCC Pipe,680,68
2026-03-01,600mm dia 2.5Mtr NP2 RCC Pipe,2900,34
2026-03-01,450mm dia 2.5Mtr NP4 RCC Pipe,3400,25
2026-03-01,900mm dia 2.5Mtr NP3 RCC Pipe,5900,32
2026-03-01,1000mm dia 2.5Mtr NP4 RCC Pipe,7400,7
2026-03-01,1200mm dia 2.5Mtr NP4 RCC Pipe,12400,7
2026-03-01,450mm dia 2.5Mtr NP4 RCC Pipe,3400,27
2026-03-01,300mm dia 2Mtr NP2 RCC Pipe,680,75
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,82
2026-03-01,225mm dia 2Mtr NP2 RCC Pipe,550,67
2026-03-01,150mm dia 2Mtr NP2 RCC Pipe,500,52
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,64
2026-03-01,1000mm dia 2.5Mtr NP4 RCC Pipe,7400,8
2026-03-01,1000mm dia 2.5Mtr NP3 RCC Pipe,6900,8
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,50
2026-03-01,600mm dia 2.5Mtr NP2 RCC Pipe,2900,35
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,64
2026-03-01,150mm dia 2Mtr NP2 RCC Pipe,500,66
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,29
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,22
2026-03-01,900mm dia 2.5Mtr NP4 RCC Pipe,6400,7
2026-03-01,450mm dia 2Mtr NP2 RCC Pipe,1500,79
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,22
2026-03-01,900mm dia 2.5Mtr NP3 RCC Pipe,5900,22
2026-03-01,450mm dia 2Mtr NP2 RCC Pipe,1500,62
2026-03-01,225mm dia 2Mtr NP2 RCC Pipe,550,61
2026-03-01,1000mm dia 2.5Mtr NP3 RCC Pipe,6900,7
2026-03-01,900mm dia 2.5Mtr NP3 RCC Pipe,5900,22
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,65
2026-03-01,1000mm dia 2.5Mtr NP3 RCC Pipe,6900,8
2026-03-01,450mm dia 2.5Mtr NP4 RCC Pipe,3400,30
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,51
2026-03-01,450mm dia 2.5Mtr NP4 RCC Pipe,3400,34
2026-03-01,900mm dia 2.5Mtr NP4 RCC Pipe,6400,5
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,50
2026-03-01,150mm dia 2Mtr NP2 RCC Pipe,500,79
2026-03-01,900mm dia 2.5Mtr NP3 RCC Pipe,5900,22
2026-03-01,450mm dia 2Mtr NP2 RCC Pipe,1500,72
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,66
2026-03-01,300mm dia 2Mtr NP2 RCC Pipe,680,79
2026-03-01,150mm dia 2Mtr NP2 RCC Pipe,500,52
2026-03-01,450mm dia 2.5Mtr NP3 RCC Pipe,2900,33
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,32
2026-03-01,450mm dia 2Mtr NP2 RCC Pipe,1500,67
2026-03-01,1000mm dia 2.5Mtr NP3 RCC Pipe,6900,7
2026-03-01,900mm dia 2.5Mtr NP3 RCC Pipe,5900,33
2026-03-01,1000mm dia 2.5Mtr NP3 RCC Pipe,6900,7
2026-03-01,450mm dia 2.5Mtr NP4 RCC Pipe,3400,34
2026-03-01,450mm dia 2.5Mtr NP3 RCC Pipe,2900,34
2026-03-01,450mm dia 2Mtr NP2 RCC Pipe,1500,66
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,83
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,53
2026-03-01,225mm dia 2Mtr NP2 RCC Pipe,550,60
2026-03-01,900mm dia 2.5Mtr NP3 RCC Pipe,5900,23
2026-03-01,1200mm dia 2.5Mtr NP4 RCC Pipe,12400,8
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,20
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,63
2026-03-01,450mm dia 2.5Mtr NP3 RCC Pipe,2900,21
2026-03-01,1000mm dia 2.5Mtr NP4 RCC Pipe,7400,6
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,23
2026-03-01,450mm dia 2Mtr NP2 RCC Pipe,1500,52
2026-03-01,225mm dia 2Mtr NP2 RCC Pipe,550,60
2026-03-01,600mm dia 2.5Mtr NP2 RCC Pipe,2900,30
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,61
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,25
2026-03-01,900mm dia 2.5Mtr NP3 RCC Pipe,5900,19
2026-03-01,225mm dia 2Mtr NP2 RCC Pipe,550,85
2026-03-01,450mm dia 2.5Mtr NP3 RCC Pipe,2900,20
2026-03-01,1000mm dia 2.5Mtr NP4 RCC Pipe,7400,7
2026-03-01,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,7
2026-03-01,150mm dia 2Mtr NP2 RCC Pipe,500,48
2026-03-01,225mm dia 2Mtr NP2 RCC Pipe,550,65
2026-03-01,450mm dia 2Mtr NP2 RCC Pipe,1500,78
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,88
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,86
2026-03-01,600mm dia 2.5Mtr NP2 RCC Pipe,2900,28
2026-03-01,450mm dia 2Mtr NP2 RCC Pipe,1500,51
2026-03-01,450mm dia 2Mtr NP2 RCC Pipe,1500,87
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,50
2026-03-01,450mm dia 2Mtr NP2 RCC Pipe,1500,72
2026-03-01,900mm dia 2.5Mtr NP3 RCC Pipe,5900,23
2026-03-01,450mm dia 2.5Mtr NP3 RCC Pipe,2900,30
2026-03-01,225mm dia 2Mtr NP2 RCC Pipe,550,51
2026-03-01,300mm dia 2Mtr NP2 RCC Pipe,680,72
2026-03-01,150mm dia 2Mtr NP2 RCC Pipe,500,82
2026-03-01,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,5
2026-03-01,150mm dia 2Mtr NP2 RCC Pipe,500,84
2026-03-01,1200mm dia 2.5Mtr NP4 RCC Pipe,12400,6
2026-03-01,1000mm dia 2.5Mtr NP4 RCC Pipe,7400,5
2026-03-01,450mm dia 2.5Mtr NP4 RCC Pipe,3400,32
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,80
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,32
2026-03-01,150mm dia 2Mtr NP2 RCC Pipe,500,55
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,27
2026-03-01,1000mm dia 2.5Mtr NP4 RCC Pipe,7400,5
2026-03-01,1200mm dia 2.5Mtr NP4 RCC Pipe,12400,7
2026-03-01,450mm dia 2.5Mtr NP4 RCC Pipe,3400,27
2026-03-01,1200mm dia 2.5Mtr NP4 RCC Pipe,12400,9
2026-03-01,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,8
2026-03-01,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,5
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,23
2026-03-01,450mm dia 2.5Mtr NP3 RCC Pipe,2900,28
2026-03-01,900mm dia 2.5Mtr NP4 RCC Pipe,6400,7
2026-03-01,450mm dia 2Mtr NP2 RCC Pipe,1500,51
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,58
2026-03-01,900mm dia 2.5Mtr NP3 RCC Pipe,5900,33
2026-03-01,900mm dia 2.5Mtr NP4 RCC Pipe,6400,5
2026-03-01,300mm dia 2Mtr NP2 RCC Pipe,680,86
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,68
2026-03-01,900mm dia 2.5Mtr NP4 RCC Pipe,6400,8
2026-03-01,450mm dia 2Mtr NP2 RCC Pipe,1500,60
2026-03-01,450mm dia 2.5Mtr NP4 RCC Pipe,3400,24
2026-03-01,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,5
2026-03-01,1000mm dia 2.5Mtr NP4 RCC Pipe,7400,6
2026-03-01,450mm dia 2Mtr NP2 RCC Pipe,1500,57
2026-03-01,600mm dia 2.5Mtr NP2 RCC Pipe,2900,20
2026-03-01,450mm dia 2.5Mtr NP3 RCC Pipe,2900,21
2026-03-01,600mm dia 2.5Mtr NP2 RCC Pipe,2900,24
2026-03-01,450mm dia 2.5Mtr NP4 RCC Pipe,3400,34
2026-03-01,450mm dia 2.5Mtr NP4 RCC Pipe,3400,22
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,78
2026-03-01,600mm dia 2.5Mtr NP2 RCC Pipe,2900,26
2026-03-01,1000mm dia 2.5Mtr NP3 RCC Pipe,6900,7
2026-03-01,450mm dia 2.5Mtr NP4 RCC Pipe,3400,35
2026-03-01,450mm dia 2Mtr NP2 RCC Pipe,1500,64
2026-03-01,900mm dia 2.5Mtr NP3 RCC Pipe,5900,30
2026-03-01,450mm dia 2.5Mtr NP4 RCC Pipe,3400,25
2026-03-01,600mm dia 2.5Mtr NP2 RCC Pipe,2900,30
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,67
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,31
2026-03-01,900mm dia 2.5Mtr NP4 RCC Pipe,6400,6
2026-03-01,1000mm dia 2.5Mtr NP4 RCC Pipe,7400,5
2026-03-01,225mm dia 2Mtr NP2 RCC Pipe,550,64
2026-03-01,1200mm dia 2.5Mtr NP4 RCC Pipe,12400,6
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,75
2026-03-01,300mm dia 2Mtr NP2 RCC Pipe,680,50
2026-03-01,450mm dia 2.5Mtr NP4 RCC Pipe,3400,27
2026-03-01,150mm dia 2Mtr NP2 RCC Pipe,500,72
2026-03-01,450mm dia 2.5Mtr NP3 RCC Pipe,2900,33
2026-03-01,1000mm dia 2.5Mtr NP3 RCC Pipe,6900,6
2026-03-01,150mm dia 2Mtr NP2 RCC Pipe,500,58
2026-03-01,300mm dia 2Mtr NP2 RCC Pipe,680,64
2026-03-01,1000mm dia 2.5Mtr NP3 RCC Pipe,6900,5
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,25
2026-03-01,450mm dia 2.5Mtr NP3 RCC Pipe,2900,33
2026-03-01,450mm dia 2.5Mtr NP3 RCC Pipe,2900,34
2026-03-01,300mm dia 2Mtr NP2 RCC Pipe,680,65
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,50
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,62
2026-03-01,450mm dia 2.5Mtr NP3 RCC Pipe,2900,27
2026-03-01,450mm dia 2.5Mtr NP3 RCC Pipe,2900,20
2026-03-01,900mm dia 2.5Mtr NP4 RCC Pipe,6400,8
2026-03-01,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,7
2026-03-01,450mm dia 2Mtr NP2 RCC Pipe,1500,60
2026-03-01,300mm dia 2Mtr NP2 RCC Pipe,680,73
2026-03-01,225mm dia 2Mtr NP2 RCC Pipe,550,48
2026-03-01,450mm dia 2Mtr NP2 RCC Pipe,1500,56
2026-03-01,450mm dia 2.5Mtr NP4 RCC Pipe,3400,30
2026-03-01,1000mm dia 2.5Mtr NP3 RCC Pipe,6900,7
2026-03-01,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,8
2026-03-01,300mm dia 2Mtr NP2 RCC Pipe,680,80
2026-03-01,450mm dia 2.5Mtr NP4 RCC Pipe,3400,31
2026-03-01,450mm dia 2Mtr NP2 RCC Pipe,1500,82
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,23
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,70
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,34
2026-03-01,150mm dia 2Mtr NP2 RCC Pipe,500,63
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,70
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,19
2026-03-01,450mm dia 2.5Mtr NP3 RCC Pipe,2900,24
2026-03-01,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,8
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,70
2026-03-01,1000mm dia 2.5Mtr NP3 RCC Pipe,6900,8
2026-03-01,300mm dia 2Mtr NP2 RCC Pipe,680,49
2026-03-01,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,7
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,24
2026-03-01,900mm dia 2.5Mtr NP3 RCC Pipe,5900,21
2026-03-01,450mm dia 2Mtr NP2 RCC Pipe,1500,60
2026-03-01,225mm dia 2Mtr NP2 RCC Pipe,550,65
2026-03-01,450mm dia 2.5Mtr NP4 RCC Pipe,3400,21
2026-03-01,150mm dia 2Mtr NP2 RCC Pipe,500,66
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,76
2026-03-01,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,7
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,80
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,73
2026-03-01,1000mm dia 2.5Mtr NP4 RCC Pipe,7400,7
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,27
2026-03-01,150mm dia 2Mtr NP2 RCC Pipe,500,73
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,80
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,49
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,51
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,65
2026-03-01,1000mm dia 2.5Mtr NP4 RCC Pipe,7400,6
2026-03-01,1000mm dia 2.5Mtr NP4 RCC Pipe,7400,5
2026-03-01,1200mm dia 2.5Mtr NP4 RCC Pipe,12400,9
2026-03-01,600mm dia 2.5Mtr NP2 RCC Pipe,2900,22
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,71
2026-03-01,225mm dia 2Mtr NP2 RCC Pipe,550,83
2026-03-01,900mm dia 2.5Mtr NP4 RCC Pipe,6400,7
2026-03-01,1200mm dia 2.5Mtr NP4 RCC Pipe,12400,5
2026-03-01,600mm dia 2.5Mtr NP2 RCC Pipe,2900,26
2026-03-01,600mm dia 2.5Mtr NP2 RCC Pipe,2900,32
2026-03-01,450mm dia 2.5Mtr NP3 RCC Pipe,2900,29
2026-03-01,900mm dia 2.5Mtr NP4 RCC Pipe,6400,5
2026-03-01,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,6
2026-03-01,600mm dia 2.5Mtr NP2 RCC Pipe,2900,21
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,53
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,85
2026-03-01,225mm dia 2Mtr NP2 RCC Pipe,550,87
2026-03-01,1200mm dia 2.5Mtr NP4 RCC Pipe,12400,8
2026-03-01,1000mm dia 2.5Mtr NP4 RCC Pipe,7400,7
2026-03-01,1200mm dia 2.5Mtr NP4 RCC Pipe,12400,6
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,22
2026-03-01,600mm dia 2.5Mtr NP2 RCC Pipe,2900,35
2026-03-01,300mm dia 2Mtr NP2 RCC Pipe,680,79
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,34
2026-03-01,150mm dia 2Mtr NP2 RCC Pipe,500,88
2026-03-01,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,8
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,64
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,87
2026-03-01,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,5
2026-03-01,1000mm dia 2.5Mtr NP4 RCC Pipe,7400,7
2026-03-01,150mm dia 2Mtr NP2 RCC Pipe,500,68
2026-03-01,300mm dia 2Mtr NP2 RCC Pipe,680,74
2026-03-01,600mm dia 2.5Mtr NP2 RCC Pipe,2900,31
2026-03-01,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,7
2026-03-01,300mm dia 2Mtr NP2 RCC Pipe,680,56
2026-03-01,225mm dia 2Mtr NP2 RCC Pipe,550,81
2026-03-01,450mm dia 2.5Mtr NP4 RCC Pipe,3400,29
2026-03-01,1000mm dia 2.5Mtr NP3 RCC Pipe,6900,5
2026-03-01,225mm dia 2Mtr NP2 RCC Pipe,550,66
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,85
2026-03-01,1000mm dia 2.5Mtr NP3 RCC Pipe,6900,6
2026-03-01,450mm dia 2Mtr NP2 RCC Pipe,1500,69
2026-03-01,150mm dia 2Mtr NP2 RCC Pipe,500,61
2026-03-01,1200mm dia 2.5Mtr NP4 RCC Pipe,12400,6
2026-03-01,1000mm dia 2.5Mtr NP3 RCC Pipe,6900,7
2026-03-01,1000mm dia 2.5Mtr NP3 RCC Pipe,6900,7
2026-03-01,600mm dia 2.5Mtr NP4 RCC Pipe,4400,30
2026-03-01,1000mm dia 2.5Mtr NP4 RCC Pipe,7400,6
2026-03-01,450mm dia 2.5Mtr NP3 RCC Pipe,2900,24
2026-03-01,1000mm dia 2.5Mtr NP4 RCC Pipe,7400,7
2026-03-01,150mm dia 2Mtr NP2 RCC Pipe,500,48
2026-03-01,300mm dia 2Mtr NP2 RCC Pipe,680,82
2026-03-01,1000mm dia 2.5Mtr NP4 RCC Pipe,7400,9
2026-03-01,1200mm dia 2.5Mtr NP4 RCC Pipe,12400,7
2026-03-01,600mm dia 2Mtr NP2 RCC Pipe,1900,82
2026-03-01,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,8
2026-03-01,1000mm dia 2.5Mtr NP3 RCC Pipe,6900,7
2026-03-01,450mm dia 2.5Mtr NP2 RCC Pipe,1900,81
2026-03-01,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,6
2026-03-01,150mm dia 2Mtr NP2 RCC Pipe,500,70
2026-03-01,1200mm dia 2.5Mtr NP4 RCC Pipe,12400,6
2026-03-01,450mm dia 2.5Mtr NP3 RCC Pipe,2900,34
2026-03-01,1000mm dia 2.5Mtr NP4 RCC Pipe,7400,5
2026-03-01,450mm dia 2.5Mtr NP3 RCC Pipe,2900,20
2026-03-02,1000mm dia 2.5Mtr NP3 RCC Pipe,6900,7
2026-03-02,225mm dia 2Mtr NP2 RCC Pipe,550,61
2026-03-02,1200mm dia 2.5Mtr NP4 RCC Pipe,12400,7
2026-03-02,900mm dia 2.5Mtr NP4 RCC Pipe,6400,8
2026-03-02,600mm dia 2.5Mtr NP4 RCC Pipe,4400,31
2026-03-02,450mm dia 2Mtr NP2 RCC Pipe,1500,55
2026-03-02,450mm dia 2.5Mtr NP2 RCC Pipe,1900,63
2026-03-02,600mm dia 2.5Mtr NP2 RCC Pipe,2900,28
2026-03-02,450mm dia 2.5Mtr NP3 RCC Pipe,2900,21
2026-03-02,450mm dia 2.5Mtr NP2 RCC Pipe,1900,49
2026-03-02,450mm dia 2.5Mtr NP2 RCC Pipe,1900,55
2026-03-02,600mm dia 2Mtr NP2 RCC Pipe,1900,60
2026-03-02,900mm dia 2.5Mtr NP3 RCC Pipe,5900,24
2026-03-02,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,6
2026-03-02,1000mm dia 2.5Mtr NP3 RCC Pipe,6900,7
2026-03-02,150mm dia 2Mtr NP2 RCC Pipe,500,73
2026-03-02,450mm dia 2.5Mtr NP4 RCC Pipe,3400,30
2026-03-02,600mm dia 2.5Mtr NP4 RCC Pipe,4400,30
2026-03-02,600mm dia 2.5Mtr NP2 RCC Pipe,2900,30
2026-03-02,900mm dia 2.5Mtr NP3 RCC Pipe,5900,21
2026-03-02,900mm dia 2.5Mtr NP4 RCC Pipe,6400,6
2026-03-02,900mm dia 2.5Mtr NP3 RCC Pipe,5900,33
2026-03-02,150mm dia 2Mtr NP2 RCC Pipe,500,50
2026-03-02,1000mm dia 2.5Mtr NP3 RCC Pipe,6900,5
2026-03-02,450mm dia 2.5Mtr NP2 RCC Pipe,1900,61
2026-03-02,450mm dia 2.5Mtr NP2 RCC Pipe,1900,71
2026-03-02,450mm dia 2.5Mtr NP2 RCC Pipe,1900,79
2026-03-02,1000mm dia 2.5Mtr NP3 RCC Pipe,6900,8
2026-03-02,600mm dia 2.5Mtr NP2 RCC Pipe,2900,32
2026-03-02,450mm dia 2.5Mtr NP2 RCC Pipe,1900,78
2026-03-02,600mm dia 2.5Mtr NP2 RCC Pipe,2900,34
2026-03-02,450mm dia 2Mtr NP2 RCC Pipe,1500,73
2026-03-02,150mm dia 2Mtr NP2 RCC Pipe,500,65
2026-03-02,600mm dia 2Mtr NP2 RCC Pipe,1900,49
2026-03-02,900mm dia 2.5Mtr NP4 RCC Pipe,6400,6
2026-03-02,300mm dia 2Mtr NP2 RCC Pipe,680,76
2026-03-02,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,6
2026-03-02,1200mm dia 2.5Mtr NP4 RCC Pipe,12400,7
2026-03-02,1000mm dia 2.5Mtr NP3 RCC Pipe,6900,7
2026-03-02,450mm dia 2.5Mtr NP3 RCC Pipe,2900,21
2026-03-02,300mm dia 2Mtr NP2 RCC Pipe,680,87
2026-03-02,450mm dia 2Mtr NP2 RCC Pipe,1500,84
2026-03-02,1200mm dia 2.5Mtr NP4 RCC Pipe,12400,8
2026-03-02,300mm dia 2Mtr NP2 RCC Pipe,680,57
2026-03-02,1200mm dia 2.5Mtr NP4 RCC Pipe,12400,7
2026-03-02,225mm dia 2Mtr NP2 RCC Pipe,550,71
2026-03-02,1000mm dia 2.5Mtr NP4 RCC Pipe,7400,7
2026-03-02,450mm dia 2Mtr NP2 RCC Pipe,1500,65
2026-03-02,300mm dia 2Mtr NP2 RCC Pipe,680,54
2026-03-02,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,6
2026-03-02,600mm dia 2.5Mtr NP2 RCC Pipe,2900,34
2026-03-02,225mm dia 2Mtr NP2 RCC Pipe,550,70
2026-03-02,1200mm dia 2.5Mtr NP3 RCC Pipe,11900,7
2026-03-02,450mm dia 2.5Mtr NP4 RCC Pipe,3400,23
2026-03-02,1000mm dia 2.5Mtr NP3 RCC Pipe,6900,6
2026-03-02,1200mm dia 2.5Mtr NP4 RCC Pipe,12400,7
2026-03-02,900mm dia 2.5Mtr NP3 RCC Pipe,5900,29
2026-03-02,1200mm dia 2.5Mtr NP4 RCC Pipe,12400,9
2026-03-02,225mm dia 2Mtr NP2 RCC Pipe,550,75
2026-03-02,1200mm dia 2.5Mtr NP4 RCC Pipe,12400,7
2026-03-02,150mm dia 2Mtr NP2 RCC Pipe,500,66
2026-03-02,300mm dia 2Mtr NP2 RCC Pipe,680,60
2026-03-02,450mm dia 2.5Mtr NP2 RCC Pipe,1900,61
2026-03-02,600mm dia 2.5Mtr NP2 RCC Pipe,2900,21
2026-03-02,1000mm dia 2.5Mtr NP3 RCC Pipe,6900,7
2026-03-02,600mm dia 2Mtr NP2 RCC Pipe,1900,53
2026-03-02,450mm dia 2.5Mtr NP2 RCC Pipe,1900,66
2026-03-02,600mm dia 2.5Mtr NP4 RCC Pipe,4400,22
2026-03-02,600mm dia 2Mtr NP2 RCC Pipe,1900,69
2026-03-02,450mm dia 2Mtr NP2 RCC Pipe,1500,85
2026-03-02,600mm dia 2Mtr NP2 RCC Pipe,1900,54
2026-03-02,1200mm dia 2.5Mtr NP4 RCC Pipe,12400,7
2026-03-02,450mm dia 2.5Mtr NP2 RCC Pipe,1900,57
2026-03-02,450mm dia 2Mtr NP2 RCC Pipe,1500,75
2026-03-02,600mm dia 2.5Mtr NP2 RCC Pipe,2900,19
2026-03-02,600mm dia 2.5Mtr NP4 RCC Pipe,4400,20
2026-03-02,600mm dia 2Mtr NP2 RCC Pipe,1900,65
